hours,price
1.0,22.39
2.0,18.59
3.0,18.53
4.0,18.74
5.0,18.64
6.0,21.1
7.0,30.13
8.0,31.87
9.0,31.37
10.0,19.62
11.0,20.6
12.0,18.62
13.0,18.07
14.0,16.24
15.0,15.03
16.0,14.25
17.0,15.42
18.0,19.63
19.0,18.71
20.0,17.1
21.0,15.68
22.0,15.45
23.0,15.75
24.0,14.65
25.0,13.3
26.0,13.67
27.0,13.84
28.0,13.75
29.0,14.04
30.0,15.3
31.0,16.97
32.0,19.52
33.0,19.91
34.0,19.21
35.0,18.5
36.0,17.32
37.0,17.19
38.0,16.57
39.0,15.74
40.0,15.72
41.0,18.1
42.0,26.1
43.0,22.67
44.0,20.05
45.0,18.86
46.0,18.75
47.0,17.42
48.0,15.97
49.0,16.17
50.0,15.48
51.0,15.5
52.0,15.48
53.0,16.02
54.0,17.45
55.0,29.26
56.0,28.56
57.0,22.0
58.0,17.97
59.0,17.81
60.0,16.77
61.0,16.74
62.0,16.69
63.0,16.58
64.0,16.26
65.0,18.65
66.0,32.8
67.0,31.96
68.0,22.09
69.0,22.3
70.0,19.71
71.0,18.58
72.0,18.09
73.0,17.73
74.0,17.31
75.0,17.51
76.0,17.3
77.0,17.84
78.0,20.85
79.0,36.47
80.0,31.53
81.0,20.97
82.0,19.98
83.0,18.99
84.0,16.82
85.0,16.68
86.0,15.92
87.0,15.01
88.0,14.8
89.0,17.28
90.0,25.5
91.0,19.75
92.0,18.62
93.0,18.24
94.0,15.64
95.0,14.62
96.0,9.81
97.0,4.24
98.0,4.19
99.0,4.16
100.0,4.69
101.0,4.9
102.0,8.5
103.0,15.23
104.0,14.71
105.0,13.38
106.0,11.14
107.0,8.98
108.0,6.22
109.0,6.39
110.0,7.32
111.0,7.52
112.0,7.41
113.0,14.24
114.0,27.35
115.0,28.27
116.0,23.05
117.0,25.3
118.0,22.41
119.0,18.03
120.0,18.31
121.0,9.33
122.0,7.83
123.0,8.7
124.0,11.66
125.0,15.29
126.0,19.18
127.0,25.94
128.0,26.63
129.0,24.73
130.0,20.08
131.0,19.29
132.0,18.0
133.0,17.42
134.0,17.37
135.0,17.27
136.0,17.49
137.0,19.37
138.0,42.32
139.0,41.46
140.0,26.62
141.0,24.2
142.0,20.82
143.0,19.5
144.0,19.6
145.0,18.81
146.0,18.52
147.0,18.73
148.0,19.18
149.0,19.98
150.0,23.35
151.0,49.02
152.0,48.56
153.0,40.92
154.0,30.01
155.0,25.27
156.0,21.23
157.0,19.16
158.0,18.25
159.0,18.0
160.0,17.92
161.0,19.79
162.0,32.27
163.0,30.22
164.0,24.25
165.0,23.48
166.0,22.85
167.0,21.13
168.0,20.94
169.0,19.96
170.0,19.44
171.0,19.69
172.0,20.41
173.0,20.45
174.0,26.13
175.0,28.41
176.0,35.48
177.0,35.95
178.0,29.99
179.0,23.15
180.0,20.88
181.0,19.94
182.0,18.26
183.0,17.08
184.0,16.91
185.0,17.33
186.0,26.13
187.0,21.55
188.0,19.83
189.0,20.31
190.0,20.77
191.0,19.79
192.0,18.42
193.0,23.3
194.0,22.9
195.0,22.04
196.0,21.71
197.0,21.74
198.0,23.02
199.0,25.04
200.0,27.63
201.0,28.3
202.0,29.59
203.0,30.23
204.0,28.47
205.0,29.12
206.0,24.87
207.0,24.68
208.0,26.48
209.0,28.05
210.0,52.72
211.0,54.76
212.0,49.8
213.0,41.73
214.0,35.39
215.0,30.29
216.0,25.87
217.0,26.03
218.0,24.83
219.0,25.31
220.0,25.66
221.0,26.39
222.0,34.39
223.0,75.86
224.0,73.07
225.0,56.69
226.0,42.73
227.0,31.4
228.0,28.23
229.0,25.29
230.0,21.99
231.0,20.92
232.0,20.84
233.0,24.08
234.0,45.49
235.0,53.84
236.0,40.41
237.0,36.5
238.0,30.15
239.0,25.77
240.0,22.94
241.0,23.13
242.0,21.83
243.0,22.03
244.0,22.21
245.0,23.18
246.0,27.67
247.0,63.77
248.0,61.86
249.0,34.95
250.0,29.22
251.0,23.97
252.0,23.06
253.0,21.46
254.0,20.0
255.0,18.58
256.0,18.21
257.0,22.38
258.0,37.26
259.0,35.58
260.0,27.11
261.0,23.63
262.0,21.66
263.0,20.82
264.0,18.93
265.0,17.0
266.0,16.74
267.0,17.0
268.0,17.45
269.0,17.76
270.0,20.35
271.0,38.01
272.0,33.3
273.0,24.19
274.0,22.65
275.0,21.35
276.0,19.72
277.0,18.53
278.0,17.96
279.0,17.54
280.0,17.29
281.0,18.03
282.0,26.25
283.0,23.17
284.0,19.52
285.0,19.7
286.0,17.21
287.0,15.05
288.0,12.97
289.0,14.89
290.0,14.12
291.0,14.07
292.0,14.78
293.0,15.87
294.0,17.44
295.0,31.52
296.0,26.82
297.0,15.78
298.0,6.75
299.0,1.33
300.0,0.42
301.0,1.22
302.0,2.59
303.0,7.12
304.0,12.54
305.0,17.74
306.0,38.97
307.0,40.05
308.0,29.05
309.0,27.02
310.0,21.93
311.0,19.19
312.0,20.59
313.0,20.63
314.0,19.54
315.0,18.82
316.0,18.28
317.0,18.51
318.0,21.74
319.0,44.15
320.0,36.58
321.0,26.36
322.0,20.38
323.0,17.38
324.0,15.44
325.0,13.12
326.0,12.01
327.0,11.7
328.0,12.62
329.0,17.0
330.0,30.17
331.0,30.64
332.0,28.07
333.0,27.43
334.0,26.29
335.0,23.28
336.0,22.22
337.0,20.77
338.0,19.98
339.0,20.88
340.0,22.24
341.0,26.48
342.0,30.38
343.0,41.25
344.0,47.69
345.0,47.41
346.0,31.5
347.0,27.36
348.0,21.33
349.0,20.85
350.0,19.83
351.0,18.12
352.0,18.25
353.0,18.3
354.0,27.35
355.0,28.13
356.0,22.85
357.0,22.04
358.0,22.23
359.0,24.11
360.0,22.24
361.0,22.89
362.0,20.86
363.0,21.48
364.0,21.71
365.0,22.36
366.0,22.84
367.0,29.84
368.0,37.47
369.0,40.37
370.0,28.45
371.0,20.69
372.0,19.05
373.0,18.29
374.0,17.98
375.0,17.5
376.0,17.47
377.0,18.13
378.0,33.9
379.0,35.45
380.0,23.64
381.0,20.38
382.0,19.05
383.0,19.13
384.0,17.88
385.0,17.49
386.0,15.74
387.0,15.28
388.0,14.85
389.0,14.65
390.0,17.57
391.0,20.54
392.0,24.51
393.0,19.19
394.0,15.09
395.0,13.18
396.0,12.66
397.0,15.11
398.0,16.0
399.0,16.59
400.0,17.57
401.0,22.41
402.0,31.38
403.0,23.14
404.0,18.65
405.0,18.12
406.0,17.3
407.0,16.55
408.0,15.25
409.0,11.95
410.0,10.18
411.0,9.35
412.0,9.67
413.0,12.47
414.0,15.42
415.0,19.36
416.0,21.71
417.0,21.2
418.0,21.76
419.0,19.27
420.0,18.36
421.0,18.26
422.0,18.44
423.0,17.81
424.0,17.81
425.0,19.51
426.0,28.16
427.0,34.18
428.0,29.35
429.0,31.83
430.0,27.36
431.0,23.62
432.0,22.01
433.0,22.43
434.0,21.03
435.0,22.24
436.0,21.51
437.0,21.6
438.0,23.14
439.0,37.91
440.0,40.99
441.0,35.22
442.0,33.99
443.0,30.47
444.0,24.85
445.0,21.09
446.0,19.97
447.0,18.63
448.0,18.35
449.0,20.15
450.0,33.93
451.0,27.56
452.0,24.22
453.0,23.5
454.0,21.82
455.0,19.06
456.0,17.03
457.0,16.63
458.0,15.24
459.0,14.82
460.0,15.0
461.0,15.57
462.0,16.68
463.0,21.22
464.0,21.48
465.0,21.75
466.0,26.14
467.0,27.91
468.0,24.36
469.0,22.35
470.0,21.0
471.0,19.37
472.0,18.25
473.0,21.01
474.0,36.51
475.0,26.0
476.0,20.84
477.0,20.31
478.0,19.8
479.0,18.43
480.0,17.3
481.0,17.9
482.0,16.58
483.0,16.5
484.0,16.42
485.0,17.25
486.0,20.4
487.0,25.26
488.0,25.8
489.0,25.44
490.0,26.12
491.0,24.48
492.0,22.33
493.0,23.14
494.0,22.4
495.0,21.64
496.0,21.81
497.0,25.06
498.0,44.07
499.0,31.64
500.0,22.65
501.0,21.93
502.0,21.8
503.0,21.35
504.0,19.6
505.0,21.47
506.0,18.11
507.0,17.83
508.0,17.65
509.0,17.53
510.0,18.35
511.0,21.24
512.0,21.58
513.0,27.93
514.0,32.67
515.0,24.62
516.0,21.53
517.0,18.58
518.0,16.85
519.0,15.52
520.0,15.98
521.0,17.76
522.0,29.31
523.0,23.45
524.0,19.2
525.0,17.94
526.0,18.36
527.0,17.53
528.0,14.86
529.0,16.85
530.0,15.55
531.0,16.0
532.0,17.06
533.0,17.39
534.0,17.93
535.0,19.37
