hours,price
1.0,34.22147
2.0,32.26191
3.0,33.39441
4.0,32.70187
5.0,33.96189
6.0,36.60771
7.0,40.06033
8.0,37.55153
9.0,27.98286
10.0,20.95176
11.0,15.7947
12.0,13.80429
13.0,12.19598
14.0,11.58819
15.0,17.0563
16.0,28.93115
17.0,40.49592
18.0,58.70327
19.0,49.86694
20.0,47.27372
21.0,45.27282
22.0,41.94474
23.0,37.87762
24.0,35.75638
25.0,33.56598
26.0,32.02251
27.0,32.54694
28.0,32.2526
29.0,32.64157
30.0,35.22948
31.0,38.99294
32.0,34.72796
33.0,26.79211
34.0,20.75417
35.0,17.49423
36.0,15.07187
37.0,12.44651
38.0,13.29257
39.0,16.1502
40.0,28.47091
41.0,40.62429
42.0,54.24637
43.0,48.2606
44.0,44.44338
45.0,43.50385
46.0,40.13147
47.0,37.14695
48.0,34.86712
49.0,30.75963
50.0,30.74429
51.0,30.58425
52.0,30.45637
53.0,30.8682
54.0,33.52072
55.0,36.97502
56.0,33.07655
57.0,26.25132
58.0,20.63039
59.0,16.52707
60.0,15.26782
61.0,15.06703
62.0,14.37581
63.0,18.18305
64.0,30.07761
65.0,40.78187
66.0,60.04967
67.0,52.45453
68.0,46.27485
69.0,43.48505
70.0,39.45623
71.0,37.28554
72.0,34.30529
73.0,30.70259
74.0,30.4777
75.0,29.99916
76.0,30.13885
77.0,31.44588
78.0,37.33969
79.0,48.55893
80.0,55.45604
81.0,36.83715
82.0,30.36307
83.0,30.34289
84.0,28.56792
85.0,25.98143
86.0,25.33021
87.0,27.60095
88.0,31.99234
89.0,40.46596
90.0,63.15313
91.0,65.31415
92.0,50.84154
93.0,46.78316
94.0,39.45016
95.0,34.26508
96.0,32.19755
97.0,28.53191
98.0,27.64524
99.0,26.58356
100.0,26.75825
101.0,27.69095
102.0,31.26426
103.0,41.20024
104.0,51.86319
105.0,32.84425
106.0,27.13413
107.0,24.18492
108.0,23.08388
109.0,21.9387
110.0,22.47766
111.0,25.68953
112.0,39.59145
113.0,47.26173
114.0,70.0743
115.0,63.16849
116.0,53.76491
117.0,45.12619
118.0,38.35907
119.0,34.47
120.0,32.59713
121.0,28.893
122.0,28.12535
123.0,27.86848
124.0,28.29792
125.0,29.64789
126.0,35.10788
127.0,42.17913
128.0,50.05215
129.0,33.34683
130.0,28.9728
131.0,26.89178
132.0,25.28616
133.0,23.85649
134.0,24.28748
135.0,27.15282
136.0,31.98059
137.0,45.25201
138.0,61.60361
139.0,53.00884
140.0,46.6207
141.0,40.42977
142.0,37.20687
143.0,33.89944
144.0,31.51334
145.0,28.56611
146.0,27.86367
147.0,27.00419
148.0,27.53313
149.0,29.76391
150.0,34.86723
151.0,45.34871
152.0,46.71284
153.0,34.22233
154.0,30.73775
155.0,28.52217
156.0,26.58667
157.0,24.79544
158.0,25.19708
159.0,28.09601
160.0,31.61462
161.0,43.45019
162.0,59.40569
163.0,53.62062
164.0,46.5228
165.0,41.07293
166.0,37.25606
167.0,35.01818
168.0,31.88242
169.0,31.22468
170.0,30.12815
171.0,29.80438
172.0,29.93217
173.0,30.50957
174.0,35.94803
175.0,44.98347
176.0,45.39627
177.0,34.1907
178.0,30.76602
179.0,24.37793
180.0,20.3337
181.0,18.95618
182.0,16.75901
183.0,19.80295
184.0,27.39806
185.0,38.26894
186.0,47.25314
187.0,42.59857
188.0,38.65855
189.0,36.43836
190.0,34.83487
191.0,32.00179
192.0,30.90903
193.0,31.45325
194.0,30.1709
195.0,28.97947
196.0,29.06534
197.0,30.2549
198.0,34.51664
199.0,39.07863
200.0,37.73854
201.0,29.93559
202.0,26.85139
203.0,20.80854
204.0,17.51306
205.0,13.15466
206.0,12.16748
207.0,17.54019
208.0,27.5068
209.0,35.75598
210.0,53.50711
211.0,48.44677
212.0,41.40587
213.0,38.88916
214.0,37.09378
215.0,33.38901
216.0,32.15508
217.0,32.12225
218.0,30.88291
219.0,31.62818
220.0,31.04701
221.0,30.98142
222.0,33.9874
223.0,38.68953
224.0,34.52447
225.0,28.65184
226.0,22.07305
227.0,14.5136
228.0,12.19855
229.0,9.28663
230.0,7.42887
231.0,13.19252
232.0,25.6625
233.0,35.38235
234.0,49.91114
235.0,48.27743
236.0,41.042
237.0,39.3446
238.0,37.19306
239.0,33.32967
240.0,31.63964
241.0,30.61313
242.0,29.76415
243.0,29.66719
244.0,29.60629
245.0,30.62382
246.0,36.70107
247.0,45.17161
248.0,45.49761
249.0,35.14076
250.0,31.35303
251.0,23.63282
252.0,21.81453
253.0,21.50357
254.0,20.5538
255.0,24.29093
256.0,31.5228
257.0,42.1562
258.0,59.10691
259.0,55.70716
260.0,55.67701
261.0,47.24629
262.0,43.88228
263.0,38.01537
264.0,33.40305
265.0,31.58433
266.0,31.02819
267.0,30.54835
268.0,30.55777
269.0,31.85707
270.0,36.0455
271.0,47.46719
272.0,49.04602
273.0,36.3011
274.0,30.61683
275.0,29.6269
276.0,27.06365
277.0,24.24476
278.0,24.47887
279.0,26.42953
280.0,31.2089
281.0,44.82753
282.0,63.83947
283.0,56.57321
284.0,51.28567
285.0,42.17931
286.0,38.20108
287.0,34.79281
288.0,33.09318
289.0,29.93338
290.0,29.07603
291.0,28.38214
292.0,28.46767
293.0,29.62356
294.0,34.96058
295.0,45.4044
296.0,48.22145
297.0,35.63652
298.0,28.58383
299.0,24.36837
300.0,23.14795
301.0,20.52796
302.0,20.63721
303.0,21.82388
304.0,28.05649
305.0,41.61769
306.0,60.2102
307.0,51.7822
308.0,42.17717
309.0,40.65205
310.0,39.29688
311.0,33.28822
312.0,31.75354
313.0,30.01097
314.0,30.05561
315.0,28.81733
316.0,28.95784
317.0,28.81325
318.0,33.75649
319.0,44.52697
320.0,45.23365
321.0,33.41907
322.0,28.47609
323.0,25.22204
324.0,23.4674
325.0,21.48279
326.0,23.06503
327.0,26.06416
328.0,32.98979
329.0,43.75994
330.0,58.93198
331.0,49.05125
332.0,44.6934
333.0,40.1753
334.0,37.17849
335.0,33.37882
336.0,30.80225
337.0,27.83134
338.0,28.0891
339.0,27.01216
340.0,27.68669
341.0,28.55194
342.0,31.88474
343.0,42.06999
344.0,41.54256
345.0,31.63282
346.0,24.79744
347.0,24.58297
348.0,24.23178
349.0,24.82537
350.0,25.31295
351.0,26.76939
352.0,33.43258
353.0,44.40815
354.0,50.18572
355.0,46.72344
356.0,39.90038
357.0,37.82509
358.0,35.05945
359.0,33.21769
360.0,29.51524
361.0,29.97808
362.0,29.49397
363.0,29.45762
364.0,29.46074
365.0,29.94962
366.0,32.16062
367.0,37.03404
368.0,34.98139
369.0,28.26336
370.0,24.42334
371.0,20.41921
372.0,18.39648
373.0,16.83821
374.0,16.52888
375.0,21.83643
376.0,29.89803
377.0,39.05863
378.0,47.01793
379.0,45.77202
380.0,41.7935
381.0,39.13247
382.0,37.08756
383.0,32.41846
384.0,32.36987
385.0,30.21199
386.0,29.56062
387.0,29.89881
388.0,29.98462
389.0,30.09864
390.0,31.97969
391.0,33.53473
392.0,30.60499
393.0,20.88666
394.0,13.15959
395.0,8.98852
396.0,7.66683
397.0,6.46325
398.0,7.0102
399.0,14.23702
400.0,24.80676
401.0,39.20776
402.0,49.39567
403.0,47.89754
404.0,40.28429
405.0,38.67527
406.0,37.23026
407.0,32.45922
408.0,30.01634
409.0,29.0536
410.0,28.65295
411.0,28.27644
412.0,28.26771
413.0,29.16934
414.0,32.16902
415.0,39.5432
416.0,37.01481
417.0,29.79515
418.0,25.71075
419.0,20.02023
420.0,18.62302
421.0,16.8962
422.0,16.2212
423.0,21.23181
424.0,29.29187
425.0,37.96639
426.0,47.86117
427.0,42.82869
428.0,38.98513
429.0,37.34345
430.0,34.05803
431.0,32.84411
432.0,30.14689
433.0,29.58571
434.0,29.42532
435.0,28.02562
436.0,27.97941
437.0,29.48174
438.0,32.864
439.0,38.38673
440.0,38.63595
441.0,30.95286
442.0,28.29795
443.0,23.47502
444.0,21.32045
445.0,20.53185
446.0,20.42097
447.0,22.43806
448.0,26.8074
449.0,36.96706
450.0,45.37815
451.0,41.72659
452.0,39.19283
453.0,38.05904
454.0,35.72074
455.0,33.22061
456.0,31.58567
457.0,28.65497
458.0,27.81359
459.0,28.0
460.0,28.7782
461.0,29.2
462.0,32.16002
463.0,41.04086
464.0,42.50777
465.0,30.96847
466.0,19.9125
467.0,16.84318
468.0,15.24956
469.0,13.99523
470.0,15.36018
471.0,20.15293
472.0,28.59385
473.0,39.45416
474.0,47.76366
475.0,43.41415
476.0,41.26711
477.0,40.45733
478.0,37.82306
479.0,33.24623
480.0,31.69
481.0,30.10697
482.0,29.60389
483.0,29.2
484.0,28.69019
485.0,30.31387
486.0,36.71959
487.0,41.53962
488.0,41.97913
489.0,30.01443
490.0,17.90078
491.0,18.01218
492.0,14.41937
493.0,11.036
494.0,10.64424
495.0,13.02727
496.0,25.71395
497.0,37.61395
498.0,44.6439
499.0,43.05527
500.0,39.14929
501.0,37.56974
502.0,37.18003
503.0,31.74882
504.0,31.27197
505.0,28.7119
506.0,28.07012
507.0,27.49038
508.0,27.99777
509.0,27.7889
510.0,29.97299
511.0,38.45735
512.0,38.9989
513.0,31.36286
514.0,26.03709
515.0,23.25824
516.0,20.59423
