Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,96261,-,-,-,35.33,-118.74,-8,320,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2019,1,1,0,30,0,0,0,-10.3,0.2,978,94,1.6,0.18
2019,1,1,1,30,0,0,0,-10.4,-0.2,978,96,1.6,0.18
2019,1,1,2,30,0,0,0,-10.4,-0.4,978,95,1.6,0.18
2019,1,1,3,30,0,0,0,-10.4,-0.5,978,94,1.5,0.18
2019,1,1,4,30,0,0,0,-10.4,-0.4,979,93,1.5,0.18
2019,1,1,5,30,0,0,0,-10.4,-0.30000000000000004,980,90,1.4000000000000001,0.18
2019,1,1,6,30,0,0,0,-10.3,0.4,981,93,1.3,0.18
2019,1,1,7,30,460,23,55,-9.1,3.2,982,100,1.3,0.18
2019,1,1,8,30,786,44,230,-7.7,6.800000000000001,983,102,1.4000000000000001,0.18
2019,1,1,9,30,897,58,393,-11.200000000000001,9.600000000000001,983,166,1,0.18
2019,1,1,10,30,939,71,513,-13.200000000000001,11.3,982,244,1.1,0.18
2019,1,1,11,30,962,76,576,-13.9,12.100000000000001,982,254,1.6,0.18
2019,1,1,12,30,953,78,573,-14,12.5,981,250,1.7000000000000002,0.18
2019,1,1,13,30,902,79,500,-14,12.3,981,257,1.8,0.18
2019,1,1,14,30,830,70,376,-13.700000000000001,11.3,981,268,1.8,0.18
2019,1,1,15,30,680,56,212,-10,10.5,981,272,1.7000000000000002,0.18
2019,1,1,16,30,283,27,44,-6,5,982,290,1.1,0.18
2019,1,1,17,30,0,0,0,-7.5,4.2,983,308,1,0.18
2019,1,1,18,30,0,0,0,-7.300000000000001,4.7,983,335,0.6000000000000001,0.18
2019,1,1,19,30,0,0,0,-7.6000000000000005,5.300000000000001,983,257,0.4,0.18
2019,1,1,20,30,0,0,0,-7.4,5.2,983,169,0.6000000000000001,0.18
2019,1,1,21,30,0,0,0,-6.6000000000000005,5.300000000000001,983,174,0.7000000000000001,0.18
2019,1,1,22,30,0,0,0,-6.7,5.4,983,174,0.8,0.18
